Top-level,Aggregate,Mid-level,Low-level,Disaggregate,Attribute,Unit,Value
All food,Food at home,"Meats, poultry, and fish",Meats,Beef and veal,Upper bound of forecast interval 2027,Percent change,18.9
All food,Food at home,"Meats, poultry, and fish",Meats,Pork,Relative importance,Percent,2.5
All food,Food at home,"Meats, poultry, and fish",Meats,Pork,Month-to-month July 2026 to August 2026,Percent change,0.4
All food,Food at home,"Meats, poultry, and fish",Meats,Pork,Year-over-year August 2025 to August 2026,Percent change,0.6
All food,Food at home,"Meats, poultry, and fish",Meats,Pork,Year-to-date avg. 2026 to avg. 2025,Percent change,0.9
All food,Food at home,"Meats, poultry, and fish",Meats,Pork,Annual 2024,Percent change,1.3
All food,Food at home,"Meats, poultry, and fish",Meats,Pork,Annual 2025,Percent change,1.5
All food,Food at home,"Meats, poultry, and fish",Meats,Pork,20-year historical average,Percent change,2.2
All food,Food at home,"Meats, poultry, and fish",Meats,Pork,Lower bound of forecast interval 2026,Percent change,-0.1
All food,Food at home,"Meats, poultry, and fish",Meats,Pork,Midpoint of forecast interval 2026,Percent change,1.2
All food,Food at home,"Meats, poultry, and fish",Meats,Pork,Upper bound of forecast interval 2026,Percent change,2.6
All food,Food at home,"Meats, poultry, and fish",Meats,Pork,Lower bound of forecast interval 2027,Percent change,-8.1
All food,Food at home,"Meats, poultry, and fish",Meats,Pork,Midpoint of forecast interval 2027,Percent change,0.5
All food,Food at home,"Meats, poultry, and fish",Meats,Pork,Upper bound of forecast interval 2027,Percent change,10.1
All food,Food at home,"Meats, poultry, and fish",Meats,Other meats,Relative importance,Percent,1.4
All food,Food at home,"Meats, poultry, and fish",Meats,Other meats,Month-to-month July 2026 to August 2026,Percent change,0.7
All food,Food at home,"Meats, poultry, and fish",Meats,Other meats,Year-over-year August 2025 to August 2026,Percent change,1.5
All food,Food at home,"Meats, poultry, and fish",Meats,Other meats,Year-to-date avg. 2026 to avg. 2025,Percent change,1.4
All food,Food at home,"Meats, poultry, and fish",Meats,Other meats,Annual 2024,Percent change,0.3
All food,Food at home,"Meats, poultry, and fish",Meats,Other meats,Annual 2025,Percent change,1.5
All food,Food at home,"Meats, poultry, and fish",Meats,Other meats,20-year historical average,Percent change,2.6
All food,Food at home,"Meats, poultry, and fish",Meats,Other meats,Lower bound of forecast interval 2026,Percent change,0.7
All food,Food at home,"Meats, poultry, and fish",Meats,Other meats,Midpoint of forecast interval 2026,Percent change,1.6
All food,Food at home,"Meats, poultry, and fish",Meats,Other meats,Upper bound of forecast interval 2026,Percent change,2.6
All food,Food at home,"Meats, poultry, and fish",Meats,Other meats,Lower bound of forecast interval 2027,Percent change,-5.8
All food,Food at home,"Meats, poultry, and fish",Meats,Other meats,Midpoint of forecast interval 2027,Percent change,-0.3
All food,Food at home,"Meats, poultry, and fish",Meats,Other meats,Upper bound of forecast interval 2027,Percent change,5.9
All food,Food at home,"Meats, poultry, and fish",Poultry,,Relative importance,Percent,2.6
All food,Food at home,"Meats, poultry, and fish",Poultry,,Month-to-month July 2026 to August 2026,Percent change,0.6
All food,Food at home,"Meats, poultry, and fish",Poultry,,Year-over-year August 2025 to August 2026,Percent change,0.5
All food,Food at home,"Meats, poultry, and fish",Poultry,,Year-to-date avg. 2026 to avg. 2025,Percent change,0.8
All food,Food at home,"Meats, poultry, and fish",Poultry,,Annual 2024,Percent change,0.8
All food,Food at home,"Meats, poultry, and fish",Poultry,,Annual 2025,Percent change,1.8
All food,Food at home,"Meats, poultry, and fish",Poultry,,20-year historical average,Percent change,2.7
All food,Food at home,"Meats, poultry, and fish",Poultry,,Lower bound of forecast interval 2026,Percent change,0
All food,Food at home,"Meats, poultry, and fish",Poultry,,Midpoint of forecast interval 2026,Percent change,1
All food,Food at home,"Meats, poultry, and fish",Poultry,,Upper bound of forecast interval 2026,Percent change,2.1
All food,Food at home,"Meats, poultry, and fish",Poultry,,Lower bound of forecast interval 2027,Percent change,-5.4
All food,Food at home,"Meats, poultry, and fish",Poultry,,Midpoint of forecast interval 2027,Percent change,1.5
All food,Food at home,"Meats, poultry, and fish",Poultry,,Upper bound of forecast interval 2027,Percent change,8.8
All food,Food at home,"Meats, poultry, and fish",Fish and seafood,,Relative importance,Percent,2.4
All food,Food at home,"Meats, poultry, and fish",Fish and seafood,,Month-to-month July 2026 to August 2026,Percent change,0
All food,Food at home,"Meats, poultry, and fish",Fish and seafood,,Year-over-year August 2025 to August 2026,Percent change,6.5
All food,Food at home,"Meats, poultry, and fish",Fish and seafood,,Year-to-date avg. 2026 to avg. 2025,Percent change,5.3
All food,Food at home,"Meats, poultry, and fish",Fish and seafood,,Annual 2024,Percent change,-1.9
All food,Food at home,"Meats, poultry, and fish",Fish and seafood,,Annual 2025,Percent change,2
All food,Food at home,"Meats, poultry, and fish",Fish and seafood,,20-year historical average,Percent change,3
All food,Food at home,"Meats, poultry, and fish",Fish and seafood,,Lower bound of forecast interval 2026,Percent change,5
All food,Food at home,"Meats, poultry, and fish",Fish and seafood,,Midpoint of forecast interval 2026,Percent change,5.9
All food,Food at home,"Meats, poultry, and fish",Fish and seafood,,Upper bound of forecast interval 2026,Percent change,6.8
All food,Food at home,"Meats, poultry, and fish",Fish and seafood,,Lower bound of forecast interval 2027,Percent change,-3.8
All food,Food at home,"Meats, poultry, and fish",Fish and seafood,,Midpoint of forecast interval 2027,Percent change,1.3
All food,Food at home,"Meats, poultry, and fish",Fish and seafood,,Upper bound of forecast interval 2027,Percent change,6.6
All food,Food at home,Eggs,,,Relative importance,Percent,0.8
All food,Food at home,Eggs,,,Month-to-month July 2026 to August 2026,Percent change,3.5
All food,Food at home,Eggs,,,Year-over-year August 2025 to August 2026,Percent change,-23
All food,Food at home,Eggs,,,Year-to-date avg. 2026 to avg. 2025,Percent change,-29.7
All food,Food at home,Eggs,,,Annual 2024,Percent change,8.5
All food,Food at home,Eggs,,,Annual 2025,Percent change,21.9
All food,Food at home,Eggs,,,20-year historical average,Percent change,6
All food,Food at home,Eggs,,,Lower bound of forecast interval 2026,Percent change,-32.9
All food,Food at home,Eggs,,,Midpoint of forecast interval 2026,Percent change,-29.4
All food,Food at home,Eggs,,,Upper bound of forecast interval 2026,Percent change,-25.2
All food,Food at home,Eggs,,,Lower bound of forecast interval 2027,Percent change,-30.3
All food,Food at home,Eggs,,,Midpoint of forecast interval 2027,Percent change,0.8
All food,Food at home,Eggs,,,Upper bound of forecast interval 2027,Percent change,47.8
All food,Food at home,Dairy products,,,Relative importance,Percent,5.5
All food,Food at home,Dairy products,,,Month-to-month July 2026 to August 2026,Percent change,0.3
All food,Food at home,Dairy products,,,Year-over-year August 2025 to August 2026,Percent change,-0.3
All food,Food at home,Dairy products,,,Year-to-date avg. 2026 to avg. 2025,Percent change,-0.2
All food,Food at home,Dairy products,,,Annual 2024,Percent change,-0.2
All food,Food at home,Dairy products,,,Annual 2025,Percent change,0.8
All food,Food at home,Dairy products,,,20-year historical average,Percent change,2.1
All food,Food at home,Dairy products,,,Lower bound of forecast interval 2026,Percent change,-0.6
All food,Food at home,Dairy products,,,Midpoint of forecast interval 2026,Percent change,0.1
All food,Food at home,Dairy products,,,Upper bound of forecast interval 2026,Percent change,0.8
All food,Food at home,Dairy products,,,Lower bound of forecast interval 2027,Percent change,-5
All food,Food at home,Dairy products,,,Midpoint of forecast interval 2027,Percent change,1.5
All food,Food at home,Dairy products,,,Upper bound of forecast interval 2027,Percent change,8.4
